ItemNo,Participant,Trial,ACondition,Plaus,Heard Answer,HA Wlength,Anumber,List,QCondition,QFile,Qnumber,Question,Expected Answer,EA Wlength,QLSA,response,Correct,Incorrect,Prop Heard,Block,Plaus HIT,Plaus Incorrect,NumberOfPlausibleWordsReported,NumberOfPlausibleWordsNotReported,Prop Expected
9,97699,8,Plausible,6.91,The Tube,2,26,3b,Unpredictable,26U,26,What is your least favourite method of transport?,The Tube,2,0.39,The train,1,1,0.5,2,1,1,1,1,0.5
17,97699,9,Plausible,6.73,December 25th,3,7,3b,Unpredictable,7U,7,When is your birthday?,December twenty fifth,3,0.5,December 25th,3,0,1,2,3,0,3,0,1
6,97699,10,Plausible,5.27,The Northern Lights,3,24,3b,Unpredictable,24U,24,What can you see out of your window?,The Northern Lights,3,0.28,The northern lights,3,0,1,2,3,0,3,0,1
2,97699,11,Plausible,6.36,Kings Cross,2,14,3b,Unpredictable,14U,14,Where are you getting a train from?,Kings Cross,2,0.32,Kings cross,2,0,1,3,2,0,2,0,1
24,97699,12,Plausible,6.6,Buckingham Palace,2,5,3b,Unpredictable,5U,5,Which tourist attraction would you like to visit in London?,Buckingham Palace,2,0.33,Buckingham palace,2,0,1,3,2,0,2,0,1
31,97699,13,Plausible,6.91,Buzz Lightyear,2,6,3b,Unpredictable,6U,6,Who is your favourite animated character?,Buzz Lightyear,2,0.16,Buzz Light Year,2,0,1,3,2,0,2,0,1
20,97699,14,Plausible,6.73,The Thames,2,25,3b,Unpredictable,25U,25,Where did you go on your boat ride yesterday?,The Thames,2,0.33,The Thames,2,0,1,3,2,0,2,0,1
6,90368,1,Implausible,2.64,Ham and pineapple,3,9,4b,Unpredictable,24U,24,What can you see out of your window?,The Northern Lights,3,0.28,what could you see out of your window,0,3,0,1,0,3,0,3,0
13,90368,2,Implausible,1.46,Harry Potter,2,10,4b,Unpredictable,16U,16,When would you next like to go for drinks?,New Years Eve,3,0.57,every friday,0,2,0,1,0,3,0,3,0
11,90368,3,Implausible,1.09,New York,2,17,4b,Unpredictable,28U,28,Who did you see when you visited London?,Theresa May,2,0.38,eye,0,2,0,1,0,2,0,2,0
18,90368,4,Implausible,1.09,Robin hood,2,31,4b,Unpredictable,18U,18,When do you next have a day off work?,October thirty first,3,0.58,next day,0,2,0,1,0,3,0,3,0
31,90368,5,Implausible,1.27,The Eiffel Tower,3,22,4b,Unpredictable,6U,6,Who is your favourite animated character?,Buzz Lightyear,2,0.16,spiderman,0,3,0,1,0,2,0,2,0
23,90368,6,Implausible,1.27,James bond,2,13,4b,Unpredictable,20U,20,Where would you like to go today?,Ten Downing Street,3,0.3,Chingford,0,2,0,2,0,3,0,3,0
10,90368,7,Implausible,1.91,Snow White,2,19,4b,Unpredictable,21U,21,Where did you go swimming yesterday?,The Amazon river,3,0.34,sheffield,0,2,0,2,0,3,0,3,0
24,90368,8,Implausible,1.55,Black and white,3,4,4b,Unpredictable,5U,5,Which tourist attraction would you like to visit in London?,Buckingham Palace,2,0.33,Chapel white,1,2,0.333333333,2,0,2,0,2,0
2,90368,9,Implausible,1.55,It hit an iceberg,4,12,4b,Unpredictable,14U,14,Where are you getting a train from?,Kings Cross,2,0.32,Kingscross,0,4,0,2,2,0,2,0,1
29,90368,10,Implausible,1.36,The North Pole,3,23,4b,Unpredictable,2U,2,Who is your favourite sportsman?,Andy Murray,2,0.19,verat kohli,0,3,0,2,0,2,0,2,0
17,90368,11,Implausible,1,A knife and fork,4,1,4b,Unpredictable,7U,7,When is your birthday?,December twenty fifth,3,0.5,aug 24th,0,4,0,3,0,3,0,3,0
20,90368,12,Implausible,1.27,Donald Trump,2,8,4b,Unpredictable,25U,25,Where did you go on your boat ride yesterday?,The Thames,2,0.33,Islington,0,2,0,3,0,2,0,2,0
15,90368,13,Implausible,2.91,Twice a day,3,30,4b,Unpredictable,3U,3,What is your brother's nickname?,Big Ben,2,0.11,james,0,3,0,3,0,2,0,2,0
22,90368,14,Implausible,1.82,Molly and Arthur,3,15,4b,Unpredictable,27U,27,Where would you like to go when you visit America?,The White House,3,0.41,Chicago,0,3,0,3,0,3,0,3,0
1,30600,1,Plausible,4.91,Ham and pineapple,3,9,3a,Unpredictable,9U,9,What would you like for dinner?,Ham and Pineapple,3,0.31,ham and egg,2,1,0.666666667,1,1,2,1,2,0.333333333
25,30600,2,Plausible,6.09,New York,2,17,3a,Unpredictable,17U,17,Where would you like to go shopping?,New York,2,0.24,here,0,2,0,1,0,2,0,2,0
21,30600,3,Plausible,5.82,The North Pole,3,23,3a,Unpredictable,23U,23,Where would you like to go on holiday?,The Northe Pole,3,0.15,the north pole,3,0,1,1,3,0,3,0,1
4,30600,4,Plausible,6.64,Twice a day,3,30,3a,Unpredictable,30U,30,How often do you go outside for a walk?,Twice a day,3,0.54,twice a day,3,0,1,1,3,0,3,0,1
7,30600,5,Plausible,6.55,Black and white,3,4,3a,Unpredictable,4U,4,What colours should I paint the wall?,Black and white,3,0.41,black and white,3,0,1,1,3,0,3,0,1
8,30600,6,Plausible,6.27,A knife and fork,4,1,3a,Unpredictable,1U,1,What did you buy from the shop?,A knife and fork,4,0.32,a knife and fork,4,0,1,2,4,0,4,0,1
16,30600,7,Plausible,5.18,James bond,2,13,3a,Unpredictable,13U,13,What is your favourite film?,James Bond,2,0.22,james bond,2,0,1,2,2,0,2,0,1
12,30600,8,Plausible,6.27,Harry Potter,2,10,3a,Unpredictable,10U,10,What is the name of your favourite book?,Harry Potter,2,0.35,harry potter,2,0,1,2,2,0,2,0,1
3,30600,9,Plausible,6.09,It hit an iceberg,4,12,3a,Unpredictable,12U,12,What happened to your boat?,It hit an iceberg,4,0.58,it wont start,1,3,0.25,2,1,3,1,3,0.25
14,30600,10,Plausible,4.91,Robin hood,2,31,3a,Unpredictable,31U,31,What is your best friend called?,Robin Hood,2,0.12,robin hood,2,0,1,2,2,0,2,0,1
27,30600,11,Plausible,6.55,Snow White,2,19,3a,Unpredictable,19U,19,Who is your favourite fictional character?,Snow White,2,0.11,snow white,2,0,1,3,2,0,2,0,1
19,30600,12,Plausible,5.1,The Eiffel Tower,3,22,3a,Unpredictable,22U,22,Where are you going at Christmas?,The Eiffel Tower,3,0.51,the eiffel tower,3,0,1,3,3,0,3,0,1
28,30600,13,Plausible,6.91,Donald Trump,2,8,3a,Unpredictable,8U,8,Who did you see interviewed on television recently?,Donald Trump,2,0.21,donald trump,2,0,1,3,2,0,2,0,1
5,30600,14,Plausible,7,Molly and Arthur,3,15,3a,Unpredictable,15U,15,What are your parents called?,Molly and Arthur,3,0.21,lilly and arthur,2,1,0.666666667,3,2,1,2,1,0.666666667
23,5852,1,Implausible,1.27,James bond,2,13,4b,Unpredictable,20U,20,Where would you like to go today?,Ten Downing Street,3,0.3,james bond,2,0,1,1,0,3,0,3,0
13,5852,2,Implausible,1.46,Harry Potter,2,10,4b,Unpredictable,16U,16,When would you next like to go for drinks?,New Years Eve,3,0.57,harry potter,2,0,1,1,0,3,0,3,0
22,5852,3,Implausible,1.82,Molly and Arthur,3,15,4b,Unpredictable,27U,27,Where would you like to go when you visit America?,The White House,3,0.41,molly and alpha,2,1,0.666666667,1,0,3,0,3,0
11,5852,4,Implausible,1.09,New York,2,17,4b,Unpredictable,28U,28,Who did you see when you visited London?,Theresa May,2,0.38,here,0,2,0,1,0,2,0,2,0
18,5852,5,Implausible,1.09,Robin hood,2,31,4b,Unpredictable,18U,18,When do you next have a day off work?,October thirty first,3,0.58,mudeford,0,2,0,1,0,3,0,3,0
24,5852,6,Implausible,1.55,Black and white,3,4,4b,Unpredictable,5U,5,Which tourist attraction would you like to visit in London?,Buckingham Palace,2,0.33,black and white,3,0,1,2,0,2,0,2,0
17,5852,7,Implausible,1,A knife and fork,4,1,4b,Unpredictable,7U,7,When is your birthday?,December twenty fifth,3,0.5,a knife and fork,4,0,1,2,0,3,0,3,0
10,5852,8,Implausible,1.91,Snow White,2,19,4b,Unpredictable,21U,21,Where did you go swimming yesterday?,The Amazon river,3,0.34,snow white,2,0,1,2,0,3,0,3,0
31,5852,9,Implausible,1.27,The Eiffel Tower,3,22,4b,Unpredictable,6U,6,Who is your favourite animated character?,Buzz Lightyear,2,0.16,the eiffel tower,2,1,0.666666667,2,0,2,0,2,0
29,5852,10,Implausible,1.36,The North Pole,3,23,4b,Unpredictable,2U,2,Who is your favourite sportsman?,Andy Murray,2,0.19,the north pole,3,0,1,2,0,2,0,2,0
2,5852,11,Implausible,1.55,It hit an iceberg,4,12,4b,Unpredictable,14U,14,Where are you getting a train from?,Kings Cross,2,0.32,its an iceberg,2,2,0.5,3,0,2,0,2,0
15,5852,12,Implausible,2.91,Twice a day,3,30,4b,Unpredictable,3U,3,What is your brother's nickname?,Big Ben,2,0.11,twice a day,3,0,1,3,0,2,0,2,0
6,5852,13,Implausible,2.64,Ham and pineapple,3,9,4b,Unpredictable,24U,24,What can you see out of your window?,The Northern Lights,3,0.28,a coiled pineapple,1,2,0.333333333,3,0,3,0,3,0
20,5852,14,Implausible,1.27,Donald Trump,2,8,4b,Unpredictable,25U,25,Where did you go on your boat ride yesterday?,The Thames,2,0.33,donald trump,2,0,1,3,0,2,0,2,0
24,42919,1,Implausible,1.27,Black and white,3,4,2b,Predictable,5P,5,Where does the Queen live?,Buckingham Palace,2,0.72,Buckingham palace ,0,3,0,1,2,0,2,0,1
10,42919,2,Implausible,1.91,Snow White,2,19,2b,Predictable,21P,21,What is the longest river in the world?,The Amazon river,3,0.63,Snow White ,2,0,1,1,0,3,0,3,0
13,42919,3,Implausible,1.36,Harry Potter,2,10,2b,Predictable,16P,16,What is the thirty first of December?,New Years Eve,3,0.8,Harry potter,2,0,1,1,0,3,0,3,0
17,42919,4,Implausible,1.09,A knife and fork,4,1,2b,Predictable,7P,7,When do you celebrate Christmas?,December twenty fifth,3,0.9,With a knife and fork ,4,0,1,1,0,3,0,3,0
18,42919,5,Implausible,1.36,Robin hood,2,31,2b,Predictable,18P,18,When do you celebrate Halloween?,October thirty first,3,0.89,I couldn’t understand ,0,2,0,1,0,3,0,3,0
15,42919,6,Implausible,1.27,Twice a day,3,30,2b,Predictable,3P,3,Which famous clock is in London?,Big Ben,2,1,Twice a day ,3,0,1,2,0,2,0,2,0
20,42919,7,Implausible,1.09,Donald Trump,2,8,2b,Predictable,25P,25,Which river runs through London?,The Thames,2,0.69,2:03,0,2,0,2,0,2,0,2,0
23,42919,8,Implausible,1.27,James bond,2,13,2b,Predictable,20P,20,Where does the prime minister live?,Ten Downing Street,3,0.8,James Bond ,2,0,1,2,0,3,0,3,0
22,42919,9,Implausible,1.09,Molly and Arthur,3,15,2b,Predictable,27P,27,Where does the president of America live?,The White House,3,0.84,I couldn’t understand,0,3,0,2,0,3,0,3,0
9,42919,10,Implausible,1.36,Hillary Clinton,2,11,2b,Predictable,26P,26,What is London's underground railway also known as?,The Tube,2,0.71,I couldn’t understand ,0,2,0,2,0,2,0,2,0
29,42919,11,Implausible,1,The North Pole,3,23,2b,Predictable,2P,2,Who is the best Scottish tennis player?,Andy Murray,2,0.89,The North Pole ,3,0,1,3,0,2,0,2,0
31,42919,12,Implausible,1.27,The Eiffel Tower,3,22,2b,Predictable,6P,6,Which space ranger starred in Toy Story?,Buzz Lightyear,2,0.93,The Eiffel Tower ,2,1,0.666666667,3,0,2,0,2,0
6,42919,13,Implausible,1.73,Ham and pineapple,3,9,2b,Predictable,24P,24,What is Aurora Borealis commonly known as?,The Northern Lights,3,0.85,Feeling incredible ,0,3,0,3,0,3,0,3,0
2,42919,14,Implausible,1.09,It hit an iceberg,4,12,2b,Predictable,14P,14,At which train station will you find platform nine and three quarters?,Kings Cross,2,0.74,I couldn’t understand ,0,4,0,3,0,2,0,2,0
1,39543,1,Plausible,6.91,Ham and pineapple,3,9,1a,Predictable,9P,9,"As well as cheese and tomato, which two toppings are usually on a Hawaiian pizza?",Ham and Pineapple,3,0.89,ham and pineapple,3,0,1,1,3,0,3,0,1
4,39543,2,Plausible,6.27,Twice a day,3,30,1a,Predictable,30P,30,How often does the dentist tell you to brush your teeth?,Twice a day,3,0.82,twice a day,3,0,1,1,3,0,3,0,1
21,39543,3,Plausible,5.27,The North Pole,3,23,1a,Predictable,23P,23,Where does Father Christmas live?,The Northe Pole,3,0.81,the north pole,3,0,1,1,3,0,3,0,1
3,39543,4,Plausible,6.64,It hit an iceberg,4,12,1a,Predictable,12P,12,How did The Titanic sink?,It hit an iceberg,4,0.72,it hit an iceberg,4,0,1,1,4,0,4,0,1
28,39543,5,Plausible,6.91,Donald Trump,2,8,1a,Predictable,8P,8,Who is the newly elected president of America?,Donald Trump,2,0.94,donald trump,2,0,1,1,2,0,2,0,1
25,39543,6,Plausible,7,New York,2,17,1a,Predictable,17P,17,Which city is the statue of liberty in?,New York,2,0.97,new york,2,0,1,2,2,0,2,0,1
8,39543,7,Plausible,6.46,A knife and fork,4,1,1a,Predictable,1P,1,Which cutlery should I use to cut my food?,A knife and fork,4,0.82,a knife and fork,4,0,1,2,4,0,4,0,1
27,39543,8,Plausible,6.91,Snow White,2,19,1a,Predictable,19P,19,Which fictional character lived with seven dwarves?,Snow White,2,1,snow white,2,0,1,2,2,0,2,0,1
16,39543,9,Plausible,7,James bond,2,13,1a,Predictable,13P,13,Which character starred in the famous 007 films?,James Bond,2,0.95,James Bond,2,0,1,2,2,0,2,0,1
7,39543,10,Plausible,6.91,Black and white,3,4,1a,Predictable,4P,4,What colours are pandas?,Black and white,3,0.98,black and white,3,0,1,2,3,0,3,0,1
5,39543,11,Plausible,6.27,Molly and Arthur,3,15,1a,Predictable,15P,15,What are the names of Ron Weasley's mum and dad?,Molly and Arthur,3,0.67,molly and arthur,3,0,1,3,3,0,3,0,1
19,39543,12,Plausible,6.27,The Eiffel Tower,3,22,1a,Predictable,22P,22,Which tall building is in Paris?,The Eiffel Tower,3,0.82,the eiffel tower,3,0,1,3,3,0,3,0,1
12,39543,13,Plausible,6.82,Harry Potter,2,10,1a,Predictable,10P,10,Which young wizard defeated Lord Voldemort?,Harry Potter,2,0.98,harry potter,2,0,1,3,2,0,2,0,1
14,39543,14,Plausible,5.82,Robin hood,2,31,1a,Predictable,31P,31,Who leads a gang of outlaws in Sherwood Forest?,Robin Hood,2,1,robin hood,2,0,1,3,2,0,2,0,1
12,99374,1,Plausible,6.82,Harry Potter,2,10,1a,Predictable,10P,10,Which young wizard defeated Lord Voldemort?,Harry Potter,2,0.98,Harry Potter,2,0,1,1,2,0,2,0,1
5,99374,2,Plausible,6.27,Molly and Arthur,3,15,1a,Predictable,15P,15,What are the names of Ron Weasley's mum and dad?,Molly and Arthur,3,0.67,Lori and Arthur,2,1,0.666666667,1,2,1,2,1,0.666666667
3,99374,3,Plausible,6.64,It hit an iceberg,4,12,1a,Predictable,12P,12,How did The Titanic sink?,It hit an iceberg,4,0.72,It hit an iceberg,4,0,1,1,4,0,4,0,1
8,99374,4,Plausible,6.46,A knife and fork,4,1,1a,Predictable,1P,1,Which cutlery should I use to cut my food?,A knife and fork,4,0.82,A knife and fork,4,0,1,1,4,0,4,0,1
27,99374,5,Plausible,6.91,Snow White,2,19,1a,Predictable,19P,19,Which fictional character lived with seven dwarves?,Snow White,2,1,Snow White,2,0,1,1,2,0,2,0,1
28,99374,6,Plausible,6.91,Donald Trump,2,8,1a,Predictable,8P,8,Who is the newly elected president of America?,Donald Trump,2,0.94,Donald Trump,2,0,1,2,2,0,2,0,1
4,99374,7,Plausible,6.27,Twice a day,3,30,1a,Predictable,30P,30,How often does the dentist tell you to brush your teeth?,Twice a day,3,0.82,Twice a day,3,0,1,2,3,0,3,0,1
1,99374,8,Plausible,6.91,Ham and pineapple,3,9,1a,Predictable,9P,9,"As well as cheese and tomato, which two toppings are usually on a Hawaiian pizza?",Ham and Pineapple,3,0.89,Ham and pineapple,3,0,1,2,3,0,3,0,1
19,99374,9,Plausible,6.27,The Eiffel Tower,3,22,1a,Predictable,22P,22,Which tall building is in Paris?,The Eiffel Tower,3,0.82,The Eiffel Tower,3,0,1,2,3,0,3,0,1
16,99374,10,Plausible,7,James bond,2,13,1a,Predictable,13P,13,Which character starred in the famous 007 films?,James Bond,2,0.95,James Bond,2,0,1,2,2,0,2,0,1
21,99374,11,Plausible,5.27,The North Pole,3,23,1a,Predictable,23P,23,Where does Father Christmas live?,The Northe Pole,3,0.81,The North Pole,3,0,1,3,3,0,3,0,1
25,99374,12,Plausible,7,New York,2,17,1a,Predictable,17P,17,Which city is the statue of liberty in?,New York,2,0.97,New York,2,0,1,3,2,0,2,0,1
14,99374,13,Plausible,5.82,Robin hood,2,31,1a,Predictable,31P,31,Who leads a gang of outlaws in Sherwood Forest?,Robin Hood,2,1,Robin Hood,2,0,1,3,2,0,2,0,1
7,99374,14,Plausible,6.91,Black and white,3,4,1a,Predictable,4P,4,What colours are pandas?,Black and white,3,0.98,Black and white,3,0,1,3,3,0,3,0,1
6,19884,1,Plausible,5.27,The Northern Lights,3,24,3b,Unpredictable,24U,24,What can you see out of your window?,The Northern Lights,3,0.28,i can see the lights,1,2,0.333333333,1,1,2,1,2,0.333333333
2,19884,2,Plausible,6.36,Kings Cross,2,14,3b,Unpredictable,14U,14,Where are you getting a train from?,Kings Cross,2,0.32,chester,0,2,0,1,0,2,0,2,0
18,19884,3,Plausible,6.73,October thirty first,3,18,3b,Unpredictable,18U,18,When do you next have a day off work?,October thirty first,3,0.58,on the 31st,2,1,0.666666667,1,3,0,3,0,1
20,19884,4,Plausible,6.73,The Thames,2,25,3b,Unpredictable,25U,25,Where did you go on your boat ride yesterday?,The Thames,2,0.33,the tent,1,1,0.5,1,1,1,1,1,0.5
13,19884,5,Plausible,5.82,New Years Eve,3,16,3b,Unpredictable,16U,16,When would you like to go for drinks?,New Years Eve,3,0.57,drive,0,3,0,1,0,3,0,3,0
24,19884,6,Plausible,6.6,Buckingham Palace,2,5,3b,Unpredictable,5U,5,Which tourist attraction would you like to visit in London?,Buckingham Palace,2,0.33,museum,0,2,0,2,0,2,0,2,0
10,19884,7,Plausible,4.82,The Amazon River,3,21,3b,Unpredictable,21U,21,Where did you go swimming yesterday?,The Amazon river,3,0.34,liverpool,0,3,0,2,0,3,0,3,0
15,19884,8,Plausible,5.46,Big Ben,2,3,3b,Unpredictable,3U,3,What is your brother's nickname?,Big Ben,2,0.11,hotel,0,2,0,2,0,2,0,2,0
9,19884,9,Plausible,6.91,The Tube,2,26,3b,Unpredictable,26U,26,What is your least favourite method of transport?,The Tube,2,0.39,the train,1,1,0.5,2,1,1,1,1,0.5
23,19884,10,Plausible,5.82,Ten Downing Street,3,20,3b,Unpredictable,20U,20,Where would you like to go today?,Ten Downing Street,3,0.3,just down the street,1,2,0.333333333,2,1,2,1,2,0.333333333
29,19884,11,Plausible,6.82,Andy Murray,2,2,3b,Unpredictable,2U,2,Who is your favourite sportsman?,Andy Murray,2,0.19,andy murray,2,0,1,3,2,0,2,0,1
22,19884,12,Plausible,6.82,The White House,3,27,3b,Unpredictable,27U,27,Where would you like to go when you visit America?,The White House,3,0.41,the white house,3,0,1,3,3,0,3,0,1
17,19884,13,Plausible,6.73,December 25th,3,7,3b,Unpredictable,7U,7,When is your birthday?,December twenty fifth,3,0.5,december 25th,3,0,1,3,3,0,3,0,1
31,19884,14,Plausible,6.91,Buzz Lightyear,2,6,3b,Unpredictable,6U,6,Who is your favourite animated character?,Buzz Lightyear,2,0.16,null,0,2,0,3,0,2,0,2,0
16,83005,1,Implausible,3.36,Kings Cross,2,14,4a,Unpredictable,13U,13,What is your favourite film?,James Bond,2,0.22,Kings Cross,2,0,1,1,0,2,0,2,0
26,83005,2,Implausible,2.18,The Northern Lights,3,24,4a,Unpredictable,11U,11,Who did you see when you visited America?,Hillary Clinton,2,0.37,Brooklyn Heights,0,3,0,1,0,2,0,2,0
4,83005,3,Implausible,1.36,Big Ben,2,3,4a,Unpredictable,30U,30,How often do you go outside for a walk?,Twice a day,3,0.54,Pig pen,0,2,0,1,0,3,0,3,0
14,83005,4,Implausible,1.64,Ten Downing Street,3,20,4a,Unpredictable,31U,31,What is your best friend called?,Robin Hood,2,0.12,10 Downing Street,3,0,1,1,0,2,0,2,0
19,83005,5,Implausible,1.09,October thirty first,3,18,4a,Unpredictable,22U,22,Where are you going at Christmas?,The Eiffel Tower,3,0.51,October 31st,3,0,1,1,0,3,0,3,0
7,83005,6,Implausible,1.27,Tom Hanks,2,29,4a,Unpredictable,4U,4,What colours should I paint the wall?,Black and white,3,0.41,No thanks,0,2,0,2,0,3,0,3,0
21,83005,7,Implausible,1.64,New Years Eve,3,16,4a,Unpredictable,23U,23,Where would you like to go on holiday?,The Northe Pole,3,0.15,New Zealand,1,2,0.333333333,2,0,3,0,3,0
1,83005,8,Implausible,1.64,December 25th,3,7,4a,Unpredictable,9U,9,What would you like for dinner?,Ham and Pineapple,3,0.31,December 25th,3,0,1,2,0,3,0,3,0
5,83005,9,Implausible,1.55,The Tube,2,26,4a,Unpredictable,15U,15,What are your parents called?,Molly and Arthur,3,0.21,Ka-ching,0,2,0,2,0,3,0,3,0
3,83005,10,Implausible,2.09,Andy Murray,2,2,4a,Unpredictable,12U,12,What happened to your boat?,It hit an iceberg,4,0.58,I've been married,0,2,0,2,0,4,0,4,0
27,83005,11,Implausible,1.27,The Thames,2,25,4a,Unpredictable,19U,19,Who is your favourite fictional character?,Snow White,2,0.11,Harry,0,2,0,3,0,2,0,2,0
12,83005,12,Implausible,4.91,The White House,3,27,4a,Unpredictable,10U,10,What is the name of your favourite book?,Harry Potter,2,0.35,The White House,3,0,1,3,0,2,0,2,0
25,83005,13,Implausible,1.27,Buzz Lightyear,2,6,4a,Unpredictable,17U,17,Where would you like to go shopping?,New York,2,0.24,Both lights on,0,2,0,3,0,2,0,2,0
28,83005,14,Implausible,1.09,The Amazon River,3,21,4a,Unpredictable,8U,8,Who did you see interviewed on television recently?,Donald Trump,2,0.21,Amazon River,2,1,0.666666667,3,0,2,0,2,0
11,57754,1,Implausible,1.09,New York,2,17,4b,Unpredictable,28U,28,Who did you see when you visited London?,Theresa May,2,0.38,don't know,0,2,0,1,0,2,0,2,0
31,57754,2,Implausible,1.27,The Eiffel Tower,3,22,4b,Unpredictable,6U,6,Who is your favourite animated character?,Buzz Lightyear,2,0.16,don't know,0,3,0,1,0,2,0,2,0
20,57754,3,Implausible,1.27,Donald Trump,2,8,4b,Unpredictable,25U,25,Where did you go on your boat ride yesterday?,The Thames,2,0.33,don't know,0,2,0,1,0,2,0,2,0
15,57754,4,Implausible,2.91,Twice a day,3,30,4b,Unpredictable,3U,3,What is your brother's nickname?,Big Ben,2,0.11,don't know,0,3,0,1,0,2,0,2,0
18,57754,5,Implausible,1.09,Robin hood,2,31,4b,Unpredictable,18U,18,When do you next have a day off work?,October thirty first,3,0.58,don't know,0,2,0,1,0,3,0,3,0
17,57754,6,Implausible,1,A knife and fork,4,1,4b,Unpredictable,7U,7,When is your birthday?,December twenty fifth,3,0.5,May 4th,0,4,0,2,0,3,0,3,0
13,57754,7,Implausible,1.46,Harry Potter,2,10,4b,Unpredictable,16U,16,When would you next like to go for drinks?,New Years Eve,3,0.57,Harry Potter,2,0,1,2,0,3,0,3,0
23,57754,8,Implausible,1.27,James bond,2,13,4b,Unpredictable,20U,20,Where would you like to go today?,Ten Downing Street,3,0.3,James Bond,2,0,1,2,0,3,0,3,0
6,57754,9,Implausible,2.64,Ham and pineapple,3,9,4b,Unpredictable,24U,24,What can you see out of your window?,The Northern Lights,3,0.28,don't know,0,3,0,2,0,3,0,3,0
22,57754,10,Implausible,1.82,Molly and Arthur,3,15,4b,Unpredictable,27U,27,Where would you like to go when you visit America?,The White House,3,0.41,don't know,0,3,0,2,0,3,0,3,0
24,57754,11,Implausible,1.55,Black and white,3,4,4b,Unpredictable,5U,5,Which tourist attraction would you like to visit in London?,Buckingham Palace,2,0.33,black and white,2,1,0.666666667,3,0,2,0,2,0
10,57754,12,Implausible,1.91,Snow White,2,19,4b,Unpredictable,21U,21,Where did you go swimming yesterday?,The Amazon river,3,0.34,Snow White,2,0,1,3,0,3,0,3,0
2,57754,13,Implausible,1.55,It hit an iceberg,4,12,4b,Unpredictable,14U,14,Where are you getting a train from?,Kings Cross,2,0.32,don't know,0,4,0,3,0,2,0,2,0
29,57754,14,Implausible,1.36,The North Pole,3,23,4b,Unpredictable,2U,2,Who is your favourite sportsman?,Andy Murray,2,0.19,don't know,0,3,0,3,0,2,0,2,0
7,41997,1,Plausible,6.91,Black and white,3,4,1a,Predictable,4P,4,What colours are pandas?,Black and white,3,0.98,Black and White,3,0,1,1,3,0,3,0,1
25,41997,2,Plausible,7,New York,2,17,1a,Predictable,17P,17,Which city is the statue of liberty in?,New York,2,0.97,New York,2,0,1,1,2,0,2,0,1
19,41997,3,Plausible,6.27,The Eiffel Tower,3,22,1a,Predictable,22P,22,Which tall building is in Paris?,The Eiffel Tower,3,0.82,The Eiffel Tower,3,0,1,1,3,0,3,0,1
27,41997,4,Plausible,6.91,Snow White,2,19,1a,Predictable,19P,19,Which fictional character lived with seven dwarves?,Snow White,2,1,Snow White,2,0,1,1,2,0,2,0,1
8,41997,5,Plausible,6.46,A knife and fork,4,1,1a,Predictable,1P,1,Which cutlery should I use to cut my food?,A knife and fork,4,0.82,a Knife and Fork,4,0,1,1,4,0,4,0,1
16,41997,6,Plausible,7,James bond,2,13,1a,Predictable,13P,13,Which character starred in the famous 007 films?,James Bond,2,0.95,James Bond,2,0,1,2,2,0,2,0,1
14,41997,7,Plausible,5.82,Robin hood,2,31,1a,Predictable,31P,31,Who leads a gang of outlaws in Sherwood Forest?,Robin Hood,2,1,Robin Hood,2,0,1,2,2,0,2,0,1
1,41997,8,Plausible,6.91,Ham and pineapple,3,9,1a,Predictable,9P,9,"As well as cheese and tomato, which two toppings are usually on a Hawaiian pizza?",Ham and Pineapple,3,0.89,ham and pineapple,3,0,1,2,3,0,3,0,1
3,41997,9,Plausible,6.64,It hit an iceberg,4,12,1a,Predictable,12P,12,How did The Titanic sink?,It hit an iceberg,4,0.72,it hit an iceberg,4,0,1,2,4,0,4,0,1
4,41997,10,Plausible,6.27,Twice a day,3,30,1a,Predictable,30P,30,How often does the dentist tell you to brush your teeth?,Twice a day,3,0.82,twice a day,3,0,1,2,3,0,3,0,1
28,41997,11,Plausible,6.91,Donald Trump,2,8,1a,Predictable,8P,8,Who is the newly elected president of America?,Donald Trump,2,0.94,Donald Trump,2,0,1,3,2,0,2,0,1
21,41997,12,Plausible,5.27,The North Pole,3,23,1a,Predictable,23P,23,Where does Father Christmas live?,The Northe Pole,3,0.81,the North Pole,3,0,1,3,3,0,3,0,1
12,41997,13,Plausible,6.82,Harry Potter,2,10,1a,Predictable,10P,10,Which young wizard defeated Lord Voldemort?,Harry Potter,2,0.98,Harry Potter,2,0,1,3,2,0,2,0,1
5,41997,14,Plausible,6.27,Molly and Arthur,3,15,1a,Predictable,15P,15,What are the names of Ron Weasley's mum and dad?,Molly and Arthur,3,0.67,Molly and Arthur,3,0,1,3,3,0,3,0,1
24,50927,1,Plausible,6.55,Buckingham Palace,2,5,1b,Predictable,5P,5,Where does the Queen live?,Buckingham Palace,2,0.72,Buckingham palace,2,0,1,1,2,0,2,0,1
22,50927,2,Plausible,6.73,The White House,3,27,1b,Predictable,27P,27,Where does the president of America live?,The White House,3,0.84,The White house ,3,0,1,1,3,0,3,0,1
2,50927,3,Plausible,5.91,Kings Cross,2,14,1b,Predictable,14P,14,At which train station will you find platform nine and three quarters?,Kings Cross,2,0.74,Kingscross,2,0,1,1,2,0,2,0,1
